word	reading	pos	meaning
又	また	adv,conj,pref	again;and;also;still (doing something)
又は	また.は	conj,exp	or;otherwise
友	とも	n	friend;companion;comrade;pal
友人	ユウ.ジン	n	friend
有る	あ.る	v5r-i,vi	to be;to exist;to live
有効	ユウ.コウ	a-na,n・n	valid;effective・yuko (judo)
お母さん	お.かあ.さん	n	mother;mom;mum;ma
父母	フ.ボ	n	father and mother;parents
毎月	マイ.つき	n-adv,n	every month;each month;monthly
毎日	マイ.ニチ	n-adv,n-t	every day
海	うみ	n	sea;ocean;waters
梅	うめ	n	Japanese apricot (Prunus mume);Japanese plum;ume;Chinese plum
梅干し	うめ.ぼ.し	n,nv	umeboshi;pickled dried ume;pickled dried plum
悔しい	くや.しい	a-i	vexing;annoying;frustrating;regrettable;mortifying
悔い	く.い	n,nv	regret;repentance
元気	ゲン.キ	a-na,n	lively;full of spirit;energetic;vigorous;vital;spirited
天気	テン.キ	n	weather;the elements
気	キ	n	spirit;mind;heart
気分	キ.ブン	n	feeling;mood
気持ち	キ.も.ち	n,nv・adv	feeling;sensation;mood・just a little;somewhat;slightly
気体	キ.タイ	n	gas;vapor
今月	コン.ゲツ	n-adv,n-t	this month
今	いま	n-adv,n	now;the present time;just now;soon;immediately;(one) more
今回	コン.カイ	n-adv,n-t	now;this time;lately
公平	コウ.ヘイ	n,a-na	fairness;impartiality;justice;objectivity
公	おおやけ	a-no,n	official;governmental;formal
夕方	ゆう.がた	n-adv,n-t	evening;dusk
有名	ユウ.メイ	a-na・n	famous・fame
名人	メイ.ジン	n	master;expert
外国人	ガイ.コク.ジン	n	foreigner;foreign citizen;foreign national;alien;non-Japanese
外	そと	n	outside;exterior
外国	ガイ.コク	n,a-no	foreign country
海外	カイ.ガイ	n,a-no	foreign;abroad;overseas
外交	ガイ.コウ	n	diplomacy
多分	タ.ブン	adv・a-na,a-no	perhaps;probably・generous;many;much;great
多い	おお.い	a-i	many;numerous;a lot
多少	タ.ショウ	adv,a-no・n	more or less;somewhat;a little;a few;some・amount;quantity
丁目	チョウ.め	n	district of a town;city block (of irregular size)
打つ	う.つ	v5t,vt	to hit;to strike;to knock;to beat;to punch;to slap;to tap;to bang;to clap;to pound
打つ	ぶ.つ	v5t,vt	to hit (a person);to strike;to beat
町	まち	n	town;block;neighborhood
下町	した.まち	n	low-lying part of a city (usu. containing shops, factories, etc.)
立つ	た.つ	v5t,vi	to stand;to rise;to stand up
位	くらい	adv・n	throne;crown;(nobleman's) seat・grade (of quality, etc.);level;tier;rank
泣く	な.く	v5k	to cry;to weep;to sob;to howl
悔し泣き	くや.し.な.き	n,nv,vs	crying from vexation;tears of regret
音	おと	n,n-suf	sound;noise;report
物音	もの.おと	n	sounds
五十音	ゴ.ジュウ.オン	n	the Japanese syllabary
意見	イ.ケン	n,vs,a-no	opinion;view;comment
